Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
RAJENDRA PRASAD SINGH,Post Graduate,Retired Pensioner,18151905,1 Crore,992000,9 Lakh,0
DR ABHAY KUMAR,Post Graduate,Doctor & Social Work,24742000,2 Crore,561960,5 Lakh,0
KAUSHALENDRA KUMAR,Graduate Professional,"Pax President, Business, Social Worker",264967511,26 Crore,697507,6 Lakh,1
KARNVEER SINGH YADAV,Graduate,"Business, Contractor , Agriculture, Social Service",175027679,17 Crore,2465110,24 Lakh,15
AWADH BIHARI CHOUDHARY,Graduate B.Sc.,Social Work and Politics,44467255,4 Crore,880310,8 Lakh,2
RANDHIR KUMAR,10th Pass,Business,27458952,2 Crore,545990,5 Lakh,0
PANNA LAL SINGH PATEL,10th Pass,Agriculture and Politics,9604882,96 Lakh,705540,7 Lakh,0
MOHAMMAD SAKIL,Literate,Nil,8000000,80 Lakh,280112,2 Lakh,0
KRISHAN KUMAR MANTOO,10th Pass,Social Service,49825239,4 Crore,1945812,19 Lakh,5
DIPU SINGH,Graduate,"Agriculture, Milk Business, Company Share",21561235,2 Crore,1319490,13 Lakh,0
MADAN SINGH,8th Pass,"Agriculture and Other, Panchaayat Samiti Sadasy, Andhari East",2077712,20 Lakh,0,0,5
KEDAR NATH SINGH,Graduate,"Pension, Business, Agriculture and MLA",39067766,3 Crore,490150,4 Lakh,4
PRAMOD PASWAN,8th Pass,Driver,1565000,15 Lakh,565220,5 Lakh,0
KAUSHAL KISHORE,Graduate Professional,Advocate & Social Worker,22321970,2 Crore,1145780,11 Lakh,0
BALAK NATH SAHANI,10th Pass,Agriculture,1766000,17 Lakh,0,0,0
RANDHIR KUMAR SINGH,12th Pass,"Pension, Business & Agriculture",16647036,1 Crore,674280,6 Lakh,4
BABULAL SHORYA,Graduate,"Agriculture, Animal Husbandary, Business",9401577,94 Lakh,625870,6 Lakh,7
RAMA NISHAD,12th Pass,Business & Social Work,311119540,31 Crore,1639600,16 Lakh,2
UMESH PRASAD SINGH,Graduate Graduation,"Agriculture, Business",31791856,3 Crore,0,0,0
KISHORE KUNAL,12th Pass,"Agriculture, Milk Business, Transport",0,0,1160270,11 Lakh,0
TUNTUN RAY,12th Pass,Agriculture,200000,2 Lakh,0,0,1
ARUN KUMAR RAJAK,Graduate B.A.,"Superannuated from the post of Superintendent Customs, Patna in the year February 2019.",24914696,2 Crore,685040,6 Lakh,1
AFZAL ALI KHAN,Post Graduate,Agriculture & Social Worker,14483919,1 Crore,0,0,3
JITENDRA KUMAR,Doctorate Ph.D,"Agriculture, Salary Legislative Assembly Member",37851262,3 Crore,2297260,22 Lakh,0
GUNJESHWAR SAH,Graduate,Social Worker,4619573,46 Lakh,742340,7 Lakh,1
DR KUMAR PUSPANJAY,Doctorate,Teaching and Social Service,927022312,92 Crore,46744730,4 Crore,0
DURGA NANDA MAHAVIR NAYAK,Post Graduate,Advocate,143751172,14 Crore,698420,6 Lakh,0
KAPIL DEO DAS,Graduate BA,Retired From Railway,4767297,47 Lakh,0,0,0
ABHIMNYU MAURY,10th Pass,Farmer,5890000,58 Lakh,400000,4 Lakh,2
NIRANJAN KUMAR MEHTA,Graduate,Agriculture & Social Work,35307696,3 Crore,697400,6 Lakh,0
AMAR PASWAN,Literate,Business,1900000,19 Lakh,400000,4 Lakh,0
DIVYA GAUTAM,Post Graduate,"Visiting Faculty, Patna College, Patna",9226869,92 Lakh,494430,4 Lakh,1
ARUN KUMAR GUPTA,12th Pass,Business,492898643,49 Crore,4450680,44 Lakh,2
AMARNATH YADAV,Literate,Agriculture,7246919,72 Lakh,0,0,13
ATRI MUNI URF SHAKTI SINGH YADAV,12th Pass,"Agriculture, Social Work",61048536,6 Crore,769437,7 Lakh,5
ABHISHEK KUMAR,Graduate B.A.,Agriculture,38475942,3 Crore,700000,7 Lakh,0
AVINASH KUMAR,Graduate B.A.,Social Service,470272,4 Lakh,0,0,1
ANANT KUMAR PODDAR,Graduate Professional,Advocate,6427252,64 Lakh,285670,2 Lakh,1
JAGAT NARAYAN NAYAK,Graduate Professional,"Retired Doctor Pension, Rent and Doctor work",0,0,2403980,24 Lakh,0
KRISHNA MOHAN PASWAN,8th Pass,Social Service and Labour,2535516,25 Lakh,0,0,0
TEJASHWI PRASAD YADAV,8th Pass,Social Work,71012246,7 Crore,1146610,11 Lakh,22
ISHRAT PERWEEN,Graduate,Dist. Councilor,1800000,18 Lakh,0,0,0
ARUN KUMAR,Post Graduate,Business,811882521,81 Crore,3049560,30 Lakh,0
MANORANJAN SINGH,8th Pass,Social Service and Business,44399060,4 Crore,1644320,16 Lakh,0
PRADEEP KUMAR,Graduate,Business and Social Work,43592165,4 Crore,1652320,16 Lakh,1
BIBHA DEVI,12th Pass,Business,26017921,2 Crore,2626930,26 Lakh,2
KAVITA KUMARI SAHA,Post Graduate,Social Worker & Business,17258227,1 Crore,691200,6 Lakh,0
INDRAJIT JYOTISHKAR,Post Graduate,Journalist and Teaching work,2160000,21 Lakh,0,0,0
ANIL KUMAR,Graduate B.Sc.,Agriculture & Social Work,69355102,6 Crore,897880,8 Lakh,1
OMAIR KHAN,Post Graduate,Business,30471950,3 Crore,1534740,15 Lakh,7
MUKESH KUMAR RAUSHAN,Graduate Professional,"Dental Surgeon, Business, and Social Worker",54443288,5 Crore,3050570,30 Lakh,2
KEDAR PD GUPTA,Post Graduate,Social Worker,30458420,3 Crore,2355960,23 Lakh,2
AMRENDRA KUMAR PANDEY,12th Pass,"Agriculture, Business Raj Petroleum",105673640,10 Crore,3793100,37 Lakh,14
AVINASH KUMAR,Graduate Professional,Rural Medical Business,485000,4 Lakh,0,0,0
INDIRA YADAV,Post Graduate,SOCIO-POLITICAL SERVICE,42337637,4 Crore,699963,6 Lakh,0
VISHNU DEO PASWAN,Others Diploma,Agriculture,2865494,28 Lakh,0,0,0
ARUN MANJHI,10th Pass,EX MLA and Social Service,10943000,1 Crore,2410940,24 Lakh,0
